aluguel,zona,area,quarto
2000.0,sul,68.0,2.0
3009.0,sul,100.0,3.0
3600.0,sul,30.0,1.0
1562.0,sul,38.0,1.0
1981.0,sul,68.0,3.0
3100.0,sul,106.0,3.0
1846.0,sul,56.0,2.0
4000.0,sul,69.0,1.0
1650.0,sul,58.0,2.0
2900.0,sul,300.0,2.0
2197.0,sul,79.0,3.0
2811.0,sul,60.0,2.0
2000.0,sul,60.0,2.0
1300.0,sul,45.0,2.0
1440.0,sul,50.0,2.0
1300.0,sul,55.0,2.0
3397.0,sul,71.0,3.0
2600.0,sul,43.0,1.0
2600.0,sul,43.0,1.0
4500.0,sul,75.0,2.0
7500.0,sul,101.0,2.0
1500.0,sul,82.0,3.0
2280.0,sul,110.0,2.0
6050.0,sul,89.0,2.0
3000.0,sul,49.0,1.0
2166.0,sul,56.0,2.0
1806.0,sul,56.0,2.0
1769.0,sul,70.0,2.0
1591.0,sul,70.0,2.0
1287.0,sul,51.0,2.0
1761.0,sul,50.0,2.0
2805.0,sul,45.0,1.0
1200.0,sul,62.0,2.0
1855.0,sul,50.0,2.0
2300.0,sul,44.0,1.0
2200.0,sul,78.0,2.0
5000.0,sul,70.0,2.0
4500.0,sul,70.0,2.0
8752.0,sul,76.0,1.0
990.0,sul,16.0,1.0
1300.0,sul,60.0,1.0
3161.0,sul,78.0,3.0
2600.0,sul,70.0,2.0
750.0,sul,38.0,1.0
1800.0,sul,77.0,3.0
3650.0,sul,41.0,1.0
2000.0,sul,58.0,1.0
2500.0,sul,68.0,2.0
2550.0,sul,49.0,1.0
2250.0,sul,70.0,2.0
1600.0,sul,40.0,1.0
10000.0,sul,63.0,2.0
6000.0,sul,330.0,3.0
7000.0,sul,129.0,2.0
1600.0,sul,30.0,1.0
1800.0,sul,51.0,1.0
3000.0,sul,50.0,2.0
2700.0,sul,140.0,3.0
3500.0,sul,80.0,2.0
2600.0,sul,30.0,1.0
5200.0,sul,132.0,3.0
3500.0,sul,96.0,2.0
1100.0,sul,19.0,1.0
1800.0,sul,110.0,2.0
4000.0,sul,130.0,2.0
2200.0,sul,68.0,2.0
2300.0,sul,44.0,1.0
1100.0,sul,27.0,1.0
4000.0,sul,71.0,2.0
2800.0,sul,87.0,2.0
2300.0,sul,45.0,2.0
1900.0,sul,110.0,2.0
6100.0,sul,100.0,2.0
2350.0,sul,58.0,2.0
6000.0,sul,84.0,3.0
2000.0,sul,81.0,2.0
1300.0,sul,60.0,2.0
2750.0,sul,40.0,1.0
5320.0,sul,60.0,1.0
2200.0,sul,39.0,1.0
2844.0,sul,78.0,2.0
2600.0,sul,44.0,1.0
2684.0,sul,57.0,2.0
1990.0,sul,67.0,2.0
2800.0,sul,87.0,2.0
3200.0,sul,60.0,2.0
1807.0,sul,80.0,3.0
1536.0,sul,45.0,2.0
2900.0,sul,80.0,2.0
2100.0,sul,90.0,2.0
3900.0,sul,107.0,2.0
2600.0,sul,115.0,2.0
5500.0,sul,113.0,3.0
2600.0,sul,90.0,2.0
3090.0,sul,80.0,3.0
2300.0,sul,80.0,3.0
2300.0,sul,45.0,2.0
2900.0,sul,80.0,2.0
2500.0,sul,80.0,3.0
2200.0,sul,51.0,1.0
1100.0,sul,25.0,1.0
1250.0,sul,27.0,1.0
1100.0,sul,29.0,1.0
1700.0,sul,55.0,1.0
4500.0,sul,42.0,1.0
900.0,sul,62.0,2.0
2500.0,sul,60.0,1.0
3990.0,sul,38.0,1.0
1700.0,sul,33.0,1.0
1600.0,sul,60.0,3.0
3600.0,sul,115.0,3.0
2175.0,sul,105.0,3.0
2440.0,sul,64.0,2.0
2812.0,sul,76.0,2.0
2700.0,norte,94.0,3.0
7500.0,norte,328.0,3.0
550.0,norte,25.0,1.0
500.0,norte,50.0,1.0
660.0,norte,40.0,1.0
1836.0,norte,69.0,2.0
1250.0,norte,73.0,3.0
1000.0,norte,50.0,1.0
1500.0,norte,45.0,2.0
827.0,norte,50.0,1.0
1750.0,norte,60.0,2.0
600.0,norte,21.0,1.0
2900.0,norte,130.0,2.0
2900.0,norte,300.0,3.0
1200.0,norte,48.0,2.0
1300.0,norte,50.0,1.0
1200.0,norte,60.0,2.0
1860.0,norte,60.0,2.0
1450.0,norte,50.0,2.0
1220.0,norte,44.0,1.0
4100.0,norte,56.0,1.0
500.0,norte,35.0,1.0
1800.0,norte,50.0,1.0
1600.0,norte,54.0,2.0
1500.0,norte,70.0,3.0
1317.0,norte,47.0,2.0
1700.0,norte,70.0,2.0
3500.0,norte,55.0,2.0
1300.0,norte,70.0,3.0
1400.0,norte,66.0,2.0
1200.0,norte,50.0,2.0
2100.0,norte,61.0,2.0
1200.0,norte,35.0,1.0
1100.0,norte,45.0,1.0
2425.0,norte,80.0,2.0
730.0,norte,40.0,1.0
1800.0,norte,71.0,3.0
2052.0,norte,79.0,3.0
1700.0,norte,53.0,2.0
1907.0,norte,60.0,3.0
1981.0,norte,65.0,2.0
1400.0,norte,67.0,2.0
1200.0,norte,54.0,2.0
2200.0,norte,65.0,3.0
2400.0,norte,80.0,2.0
1100.0,norte,55.0,2.0
1255.0,norte,72.0,2.0
900.0,norte,55.0,2.0
2200.0,norte,65.0,3.0
2400.0,norte,80.0,2.0
1100.0,norte,55.0,2.0
1255.0,norte,72.0,2.0
900.0,norte,55.0,2.0
2100.0,norte,67.0,3.0
3500.0,norte,70.0,2.0
3300.0,norte,65.0,2.0
2300.0,norte,55.0,2.0
1700.0,norte,75.0,2.0
2190.0,norte,70.0,3.0
2101.0,norte,110.0,3.0
1908.0,norte,45.0,1.0
1400.0,norte,70.0,2.0
2850.0,norte,65.0,2.0
1100.0,norte,48.0,2.0
1400.0,norte,50.0,1.0
2300.0,norte,83.0,3.0
3280.0,norte,45.0,2.0
1200.0,norte,50.0,1.0
1550.0,norte,54.0,2.0
5000.0,norte,100.0,3.0
1500.0,norte,55.0,1.0
1300.0,norte,54.0,2.0
1600.0,norte,55.0,1.0
1300.0,norte,50.0,1.0
1800.0,norte,75.0,2.0
1400.0,norte,50.0,1.0
2200.0,norte,280.0,2.0
800.0,norte,60.0,1.0
1300.0,norte,50.0,1.0
1300.0,norte,50.0,1.0
2700.0,norte,95.0,3.0
1400.0,norte,25.0,1.0
2280.0,norte,32.0,1.0
1500.0,norte,65.0,2.0
2200.0,norte,65.0,2.0
1700.0,norte,42.0,2.0
1026.0,norte,50.0,1.0
1500.0,norte,60.0,2.0
1200.0,norte,41.0,1.0
2713.0,norte,130.0,2.0
1700.0,norte,44.0,2.0
4700.0,norte,100.0,3.0
1251.0,norte,27.0,1.0
6000.0,norte,120.0,3.0
1000.0,norte,27.0,1.0
2500.0,norte,58.0,3.0
2100.0,norte,59.0,2.0
1150.0,norte,40.0,1.0
1600.0,norte,64.0,2.0
4500.0,norte,98.0,3.0
1452.0,norte,35.0,1.0
1900.0,norte,87.0,3.0
3800.0,norte,74.0,2.0
6000.0,norte,300.0,4.0
1700.0,norte,90.0,3.0
1380.0,norte,74.0,2.0
2500.0,norte,90.0,2.0
2000.0,norte,70.0,3.0
5000.0,norte,128.0,3.0
4100.0,norte,55.0,1.0
4400.0,norte,79.0,1.0
3000.0,norte,60.0,2.0
1550.0,norte,19.0,1.0
2600.0,norte,68.0,2.0
1789.0,norte,70.0,3.0
2936.0,norte,78.0,2.0
2500.0,norte,85.0,3.0
1700.0,norte,78.0,2.0
1600.0,norte,68.0,2.0
1300.0,norte,30.0,1.0
1200.0,norte,70.0,2.0
1380.0,norte,65.0,2.0
3000.0,norte,90.0,3.0
990.0,norte,59.0,1.0
2300.0,norte,75.0,2.0
4100.0,norte,53.0,1.0
2500.0,norte,82.0,3.0
1350.0,norte,28.0,1.0
2000.0,norte,40.0,2.0
2407.0,norte,56.0,2.0
1575.0,norte,40.0,1.0
1537.0,norte,47.0,2.0
620.0,norte,40.0,1.0
1500.0,norte,34.0,1.0
620.0,norte,40.0,1.0
2800.0,norte,90.0,2.0
2000.0,norte,48.0,2.0
1700.0,norte,55.0,2.0
1700.0,norte,48.0,2.0
1350.0,norte,60.0,1.0
1600.0,norte,60.0,2.0
750.0,norte,40.0,1.0
1121.0,norte,50.0,2.0
1111.0,norte,54.0,2.0
1400.0,norte,50.0,2.0
650.0,norte,26.0,1.0
1200.0,norte,75.0,2.0
1200.0,norte,30.0,1.0
1650.0,norte,45.0,1.0
1650.0,norte,46.0,2.0
1372.0,norte,60.0,3.0
7000.0,norte,140.0,2.0
1600.0,norte,101.0,3.0
1350.0,norte,50.0,2.0
1400.0,norte,40.0,1.0
3500.0,norte,279.0,3.0
2300.0,norte,70.0,2.0
1350.0,norte,45.0,1.0
990.0,norte,65.0,1.0
850.0,norte,45.0,1.0
1600.0,norte,55.0,2.0
1050.0,norte,50.0,2.0
500.0,norte,50.0,1.0
1250.0,norte,58.0,2.0
1249.0,norte,52.0,2.0
1299.0,norte,52.0,2.0
1249.0,norte,54.0,2.0
900.0,norte,60.0,2.0
1268.0,norte,70.0,2.0
1220.0,norte,64.0,2.0
1170.0,norte,53.0,2.0
1250.0,norte,55.0,2.0
1030.0,norte,34.0,1.0
1740.0,norte,77.0,3.0
870.0,norte,75.0,1.0
1219.0,norte,58.0,2.0
1143.0,norte,49.0,2.0
1400.0,norte,49.0,2.0
1350.0,norte,80.0,2.0
800.0,norte,25.0,2.0
951.0,norte,60.0,1.0
1100.0,norte,65.0,2.0
1600.0,norte,60.0,2.0
1219.0,norte,60.0,2.0
1100.0,norte,60.0,1.0
1700.0,norte,55.0,3.0
1000.0,norte,53.0,2.0
1500.0,norte,46.0,2.0
1050.0,norte,27.0,1.0
1358.0,norte,47.0,2.0
1509.0,norte,100.0,2.0
880.0,norte,40.0,1.0
1300.0,norte,70.0,2.0
800.0,norte,31.0,1.0
1400.0,norte,28.0,1.0
1975.0,norte,60.0,2.0
1050.0,norte,30.0,1.0
1100.0,norte,48.0,2.0
1150.0,norte,51.0,2.0
2265.0,norte,200.0,4.0
1160.0,norte,48.0,2.0
1300.0,norte,60.0,2.0
1046.0,norte,90.0,2.0
1030.0,norte,55.0,1.0
1300.0,norte,50.0,2.0
1757.0,norte,100.0,2.0
1600.0,norte,80.0,3.0
1150.0,norte,65.0,2.0
700.0,norte,50.0,2.0
1300.0,norte,72.0,2.0
1700.0,norte,42.0,2.0
1300.0,norte,50.0,2.0
2010.0,norte,84.0,3.0
1520.0,norte,80.0,2.0
1000.0,norte,60.0,1.0
1656.0,norte,40.0,1.0
1200.0,norte,62.0,2.0
1000.0,norte,30.0,1.0
1350.0,norte,80.0,2.0
1350.0,norte,52.0,2.0
1753.0,norte,62.0,2.0
690.0,norte,25.0,1.0
1500.0,norte,58.0,2.0
895.0,norte,40.0,1.0
1600.0,norte,48.0,2.0
1150.0,norte,65.0,2.0
1350.0,norte,54.0,2.0
3150.0,norte,180.0,4.0
1290.0,norte,24.0,1.0
6945.0,norte,152.0,3.0
1400.0,norte,67.0,2.0
1604.0,norte,55.0,2.0
1425.0,norte,52.0,2.0
1580.0,norte,53.0,2.0
800.0,norte,30.0,1.0
1500.0,norte,70.0,2.0
1400.0,norte,70.0,3.0
990.0,norte,50.0,1.0
2300.0,norte,40.0,2.0
1250.0,norte,31.0,1.0
2884.0,norte,140.0,3.0
900.0,norte,45.0,1.0
1350.0,norte,31.0,1.0
1150.0,norte,32.0,1.0
1100.0,norte,60.0,2.0
1400.0,norte,50.0,2.0
1639.0,norte,88.0,3.0
2000.0,norte,72.0,2.0
1650.0,norte,20.0,1.0
2500.0,norte,98.0,2.0
1570.0,norte,90.0,2.0
2000.0,norte,65.0,2.0
1600.0,norte,48.0,2.0
1800.0,norte,90.0,2.0
1270.0,norte,45.0,1.0
1200.0,norte,49.0,2.0
2200.0,norte,120.0,2.0
1600.0,norte,60.0,2.0
1598.0,norte,80.0,2.0
1480.0,norte,34.0,1.0
2220.0,norte,60.0,2.0
1270.0,norte,55.0,2.0
1028.0,norte,35.0,1.0
1550.0,norte,64.0,2.0
4609.0,norte,400.0,5.0
1050.0,norte,41.0,1.0
2100.0,norte,60.0,3.0
1900.0,norte,36.0,1.0
660.0,norte,15.0,1.0
690.0,norte,25.0,1.0
930.0,norte,33.0,1.0
2000.0,norte,60.0,2.0
1700.0,norte,56.0,2.0
2023.0,norte,70.0,2.0
2420.0,norte,53.0,2.0
4100.0,norte,260.0,4.0
1600.0,norte,70.0,3.0
1720.0,norte,60.0,2.0
1719.0,norte,67.0,2.0
5250.0,norte,124.0,3.0
1600.0,norte,53.0,2.0
1900.0,norte,55.0,2.0
1081.0,norte,50.0,1.0
1350.0,norte,58.0,2.0
1400.0,norte,52.0,2.0
690.0,norte,25.0,1.0
1450.0,norte,28.0,1.0
2900.0,norte,94.0,3.0
1400.0,leste,68.0,3.0
1200.0,leste,68.0,3.0
900.0,leste,30.0,1.0
1350.0,leste,10.0,2.0
1337.0,leste,96.0,3.0
750.0,leste,40.0,2.0
1200.0,leste,70.0,2.0
1500.0,leste,100.0,3.0
1100.0,leste,50.0,2.0
1350.0,leste,70.0,2.0
1200.0,leste,50.0,2.0
1000.0,leste,56.0,2.0
790.0,leste,20.0,1.0
1750.0,leste,77.0,2.0
1300.0,leste,54.0,2.0
1300.0,leste,52.0,2.0
1100.0,leste,100.0,2.0
2200.0,leste,75.0,2.0
880.0,leste,31.0,1.0
1000.0,leste,80.0,1.0
5400.0,leste,220.0,3.0
650.0,leste,20.0,1.0
1200.0,leste,54.0,2.0
1700.0,leste,60.0,2.0
1600.0,leste,90.0,2.0
1250.0,leste,80.0,2.0
1850.0,leste,40.0,1.0
800.0,leste,20.0,1.0
1300.0,leste,60.0,2.0
880.0,leste,49.0,1.0
1396.0,leste,50.0,1.0
750.0,leste,39.0,1.0
3500.0,leste,127.0,3.0
1500.0,leste,48.0,1.0
2500.0,leste,140.0,3.0
1000.0,leste,33.0,1.0
1380.0,leste,80.0,2.0
1000.0,leste,55.0,2.0
1200.0,leste,32.0,1.0
2400.0,leste,70.0,2.0
1850.0,leste,65.0,2.0
2000.0,leste,65.0,3.0
1500.0,leste,28.0,1.0
1400.0,leste,44.0,2.0
900.0,leste,48.0,2.0
2000.0,leste,65.0,2.0
790.0,leste,20.0,1.0
600.0,leste,25.0,1.0
6000.0,leste,170.0,3.0
1000.0,leste,50.0,2.0
1900.0,leste,180.0,2.0
1200.0,leste,50.0,2.0
800.0,leste,30.0,1.0
2200.0,leste,80.0,3.0
850.0,leste,30.0,1.0
900.0,leste,45.0,1.0
900.0,leste,30.0,1.0
1500.0,leste,51.0,2.0
3458.0,leste,73.0,2.0
900.0,leste,40.0,1.0
1200.0,leste,44.0,2.0
750.0,leste,40.0,1.0
900.0,leste,42.0,1.0
3100.0,leste,85.0,2.0
1200.0,leste,40.0,2.0
1700.0,leste,55.0,2.0
1899.0,leste,67.0,1.0
1648.0,leste,45.0,2.0
4000.0,leste,114.0,3.0
2100.0,leste,70.0,3.0
1200.0,leste,50.0,1.0
2100.0,leste,50.0,2.0
1650.0,leste,62.0,2.0
1900.0,leste,50.0,2.0
8000.0,leste,134.0,1.0
850.0,leste,40.0,1.0
1600.0,leste,42.0,1.0
3800.0,leste,190.0,3.0
850.0,leste,38.0,1.0
900.0,leste,45.0,1.0
1650.0,leste,70.0,2.0
1250.0,leste,33.0,1.0
2350.0,leste,125.0,3.0
1300.0,leste,58.0,2.0
3300.0,leste,100.0,2.0
4500.0,leste,150.0,3.0
1900.0,leste,50.0,2.0
2200.0,leste,130.0,3.0
1500.0,leste,37.0,1.0
2000.0,leste,56.0,2.0
1500.0,leste,52.0,2.0
1350.0,leste,53.0,2.0
5651.0,leste,105.0,3.0
1500.0,leste,56.0,2.0
1350.0,leste,60.0,2.0
1110.0,leste,50.0,2.0
1800.0,leste,65.0,2.0
800.0,leste,20.0,1.0
1590.0,leste,14.0,1.0
1400.0,leste,62.0,2.0
1350.0,leste,47.0,2.0
800.0,leste,20.0,1.0
6200.0,leste,335.0,3.0
8000.0,leste,257.0,4.0
3000.0,leste,192.0,3.0
1459.0,leste,68.0,3.0
3810.0,leste,97.0,3.0
1850.0,leste,50.0,2.0
1094.0,leste,48.0,2.0
1400.0,leste,60.0,2.0
1750.0,leste,55.0,2.0
3195.0,leste,150.0,3.0
1350.0,leste,70.0,2.0
1300.0,leste,50.0,2.0
1400.0,leste,60.0,2.0
1950.0,leste,100.0,4.0
3500.0,leste,84.0,3.0
3255.0,leste,102.0,2.0
2000.0,leste,50.0,2.0
1700.0,leste,47.0,2.0
3010.0,leste,70.0,3.0
1200.0,leste,49.0,1.0
2300.0,leste,130.0,2.0
2400.0,leste,50.0,2.0
1437.0,leste,90.0,3.0
1079.0,leste,45.0,2.0
1757.0,leste,241.0,2.0
2300.0,leste,35.0,1.0
1800.0,leste,46.0,2.0
1480.0,leste,62.0,2.0
2700.0,leste,42.0,1.0
2000.0,leste,80.0,2.0
1250.0,leste,51.0,1.0
1400.0,leste,60.0,2.0
8000.0,leste,180.0,3.0
1800.0,leste,37.0,1.0
1150.0,leste,32.0,1.0
1500.0,leste,40.0,2.0
1540.0,leste,24.0,1.0
1300.0,leste,48.0,2.0
1600.0,leste,70.0,2.0
1600.0,leste,50.0,2.0
1680.0,leste,56.0,2.0
2000.0,leste,77.0,2.0
1500.0,leste,29.0,1.0
1200.0,leste,40.0,2.0
2400.0,leste,59.0,2.0
3200.0,leste,52.0,1.0
1962.0,leste,60.0,2.0
1975.0,leste,40.0,1.0
4200.0,leste,82.0,3.0
1150.0,leste,59.0,2.0
1700.0,leste,35.0,1.0
3200.0,leste,81.0,2.0
5000.0,leste,160.0,3.0
2000.0,leste,45.0,2.0
1850.0,leste,35.0,1.0
2000.0,leste,54.0,2.0
3500.0,leste,68.0,2.0
1650.0,leste,70.0,2.0
1600.0,leste,48.0,2.0
1800.0,leste,29.0,1.0
1800.0,leste,29.0,1.0
2100.0,leste,61.0,1.0
2500.0,leste,52.0,2.0
1100.0,leste,60.0,1.0
1853.0,leste,70.0,2.0
1600.0,leste,46.0,2.0
1700.0,leste,70.0,2.0
3750.0,leste,61.0,2.0
790.0,leste,20.0,1.0
790.0,leste,20.0,1.0
790.0,leste,20.0,1.0
1366.0,leste,41.0,2.0
1300.0,leste,80.0,2.0
1300.0,leste,32.0,1.0
1200.0,leste,37.0,1.0
1200.0,leste,34.0,1.0
3500.0,leste,200.0,3.0
1300.0,leste,32.0,1.0
1300.0,leste,32.0,1.0
1890.0,leste,52.0,2.0
1400.0,leste,34.0,1.0
3000.0,leste,100.0,1.0
1300.0,leste,30.0,1.0
2200.0,leste,72.0,3.0
1300.0,leste,32.0,1.0
1300.0,leste,32.0,1.0
1400.0,leste,34.0,1.0
1300.0,leste,32.0,1.0
3400.0,leste,50.0,1.0
2000.0,leste,65.0,2.0
1000.0,leste,33.0,1.0
1250.0,leste,40.0,2.0
2200.0,leste,85.0,2.0
1350.0,leste,40.0,1.0
2000.0,leste,45.0,2.0
1900.0,leste,67.0,3.0
3500.0,leste,64.0,2.0
4900.0,leste,150.0,3.0
1600.0,leste,43.0,1.0
2141.0,leste,56.0,2.0
2100.0,leste,61.0,2.0
2150.0,leste,52.0,2.0
1700.0,leste,46.0,2.0
2250.0,leste,46.0,1.0
1700.0,leste,48.0,1.0
1200.0,leste,56.0,2.0
1650.0,leste,44.0,1.0
2500.0,leste,77.0,3.0
1800.0,leste,54.0,1.0
1400.0,leste,35.0,1.0
1100.0,leste,56.0,2.0
1000.0,leste,33.0,1.0
750.0,leste,30.0,1.0
1600.0,leste,42.0,1.0
1960.0,leste,40.0,1.0
1600.0,leste,52.0,1.0
4000.0,leste,132.0,3.0
2200.0,leste,83.0,3.0
2200.0,leste,70.0,2.0
2000.0,leste,51.0,2.0
900.0,leste,40.0,2.0
1200.0,leste,30.0,1.0
5600.0,leste,157.0,3.0
1679.0,leste,60.0,3.0
1300.0,leste,40.0,1.0
1500.0,leste,42.0,2.0
1800.0,leste,50.0,2.0
1300.0,leste,53.0,1.0
1100.0,leste,40.0,1.0
2700.0,leste,89.0,2.0
1300.0,leste,40.0,1.0
1500.0,leste,42.0,2.0
1400.0,leste,62.0,2.0
2200.0,leste,39.0,1.0
1100.0,leste,52.0,2.0
1400.0,leste,62.0,2.0
1400.0,leste,62.0,2.0
950.0,leste,29.0,1.0
2000.0,leste,124.0,2.0
2400.0,leste,124.0,2.0
1400.0,leste,62.0,2.0
1400.0,leste,62.0,2.0
2900.0,leste,130.0,2.0
1200.0,leste,62.0,2.0
5000.0,leste,180.0,3.0
1400.0,leste,62.0,2.0
1450.0,leste,36.0,1.0
800.0,leste,20.0,1.0
1400.0,leste,62.0,2.0
1400.0,leste,62.0,2.0
1400.0,leste,62.0,2.0
1400.0,leste,62.0,2.0
1400.0,leste,62.0,2.0
1400.0,leste,62.0,2.0
1900.0,leste,70.0,3.0
2400.0,leste,85.0,3.0
1300.0,leste,50.0,1.0
1215.0,leste,50.0,1.0
1400.0,leste,62.0,2.0
1500.0,leste,47.0,2.0
1000.0,leste,30.0,1.0
2000.0,leste,35.0,1.0
1590.0,leste,12.0,1.0
670.0,leste,45.0,1.0
850.0,leste,48.0,1.0
1098.0,leste,62.0,2.0
1400.0,leste,56.0,1.0
1100.0,leste,34.0,1.0
900.0,leste,30.0,1.0
1250.0,leste,70.0,2.0
982.0,leste,27.0,1.0
2575.0,leste,73.0,2.0
2363.0,leste,57.0,2.0
2800.0,leste,126.0,3.0
8160.0,leste,300.0,4.0
1200.0,leste,65.0,3.0
3000.0,leste,51.0,1.0
1100.0,leste,28.0,1.0
1300.0,leste,53.0,2.0
600.0,leste,25.0,1.0
1270.0,leste,52.0,3.0
1595.0,leste,46.0,2.0
1100.0,leste,50.0,2.0
1292.0,leste,26.0,1.0
1700.0,leste,94.0,3.0
1100.0,leste,28.0,1.0
2600.0,oeste,77.0,2.0
750.0,oeste,30.0,1.0
5000.0,oeste,50.0,1.0
6480.0,oeste,175.0,4.0
6480.0,oeste,175.0,4.0
6480.0,oeste,175.0,4.0
1100.0,oeste,64.0,2.0
1200.0,oeste,50.0,2.0
2100.0,oeste,70.0,3.0
2000.0,oeste,48.0,1.0
700.0,oeste,50.0,1.0
1600.0,oeste,106.0,3.0
909.0,oeste,40.0,1.0
